ts,open,high,low,close,volume
2013-01-09 00:00:00+00:00,1456.48,1464.36,1456.23,1461.73,0
2013-01-10 00:00:00+00:00,1461.23,1475.42,1459.8600000000001,1474.52,0
2013-01-11 00:00:00+00:00,1474.92,1476.0500000000002,1467.55,1472.67,0
2013-01-14 00:00:00+00:00,1472.0500000000002,1476.3000000000002,1465.55,1469.84,0
2013-01-15 00:00:00+00:00,1470.0900000000001,1473.33,1461.9699999999998,1472.27,0
2013-01-16 00:00:00+00:00,1471.77,1473.9,1465.15,1470.21,0
2013-01-17 00:00:00+00:00,1470.01,1485.39,1465.6399999999999,1480.85,0
2013-01-18 00:00:00+00:00,1480.35,1485.98,1475.73,1484.79,0
2013-01-21 00:00:00+00:00,1483.17,1488.68,1483.17,1488.05,0
2013-01-22 00:00:00+00:00,1488.04,1496.56,1480.17,1496.11,0
2013-01-23 00:00:00+00:00,1495.56,1496.19,1488.6,1489.0,0
2013-01-24 00:00:00+00:00,1488.4,1502.61,1488.0300000000002,1493.14,0
2013-01-25 00:00:00+00:00,1492.8899999999999,1503.9699999999998,1491.77,1500.59,0
2013-01-28 00:00:00+00:00,1499.9699999999998,1504.7199999999998,1496.22,1500.32,0
2013-01-29 00:00:00+00:00,1500.27,1510.27,1495.9,1510.02,0
2013-01-30 00:00:00+00:00,1509.52,1510.4,1497.855,1498.43,0
2013-01-31 00:00:00+00:00,1498.6799999999998,1504.31,1495.81,1500.4,0
2013-02-01 00:00:00+00:00,1500.65,1514.43,1500.2800000000002,1512.02,0
2013-02-04 00:00:00+00:00,1511.65,1512.65,1494.78,1496.97,0
2013-02-05 00:00:00+00:00,1496.96,1515.1,1496.4699999999998,1511.78,0
2013-02-06 00:00:00+00:00,1511.77,1514.1599999999999,1503.1599999999999,1510.34,0
2013-02-07 00:00:00+00:00,1510.8400000000001,1514.4699999999998,1498.34,1508.71,0
2013-02-08 00:00:00+00:00,1508.46,1518.59,1507.5900000000001,1517.38,0
2013-02-11 00:00:00+00:00,1516.26,1520.51,1513.51,1516.55,0
2013-02-12 00:00:00+00:00,1516.0500000000002,1522.43,1512.1799999999998,1520.59,0
2013-02-13 00:00:00+00:00,1520.5900000000001,1524.72,1515.97,1518.91,0
2013-02-14 00:00:00+00:00,1518.9099999999999,1523.42,1512.79,1521.41,0
2013-02-15 00:00:00+00:00,1521.29,1524.29,1514.04,1519.42,0
