ts,close
01/27/2021,35.73
01/28/2021,31.77
01/29/2021,33.88
02/01/2021,32.53
02/02/2021,29.36
02/03/2021,27.57
02/04/2021,26.79
02/05/2021,26.52
02/08/2021,26.65
02/09/2021,27.11
02/10/2021,27.49
02/11/2021,27.22
02/12/2021,26.5
02/16/2021,27.55
02/17/2021,27.52
02/18/2021,27.86
02/19/2021,27.09
02/22/2021,27.81
02/23/2021,27.12
02/24/2021,25.89
02/25/2021,30.24
02/26/2021,29.6
03/01/2021,26.78
03/02/2021,27.16
03/03/2021,28.79
03/04/2021,30.08
03/05/2021,27.89
03/08/2021,28.13
03/09/2021,27.28
03/10/2021,26.68
03/11/2021,26.09
03/12/2021,25.74
03/15/2021,24.89
03/16/2021,24.71
03/17/2021,23.88
03/18/2021,25.28
03/19/2021,24.99
03/22/2021,22.94
03/23/2021,23.8
03/24/2021,24.4
03/25/2021,23.37
03/26/2021,22.32
03/29/2021,23.2
03/30/2021,22.31
03/31/2021,22.15
04/01/2021,20.97
04/05/2021,20.96
04/06/2021,21.16
04/07/2021,20.66
04/08/2021,20.59
04/09/2021,20.74
04/12/2021,20.82
04/13/2021,20.78
04/14/2021,21.06
04/15/2021,20.76
04/16/2021,20.53
04/19/2021,21.37
04/20/2021,22.35
04/21/2021,21.49
04/22/2021,22.52
04/23/2021,21.57
04/26/2021,21.54
04/27/2021,21.32
04/28/2021,21.13
04/29/2021,21.31
04/30/2021,22.07
